# Multi-character words for 多音字 disambiguation
# Format: word<TAB>bopomofo
# Lines starting with # are comments

銀行	ㄧㄣˊ ㄏㄤˊ
方便	ㄈㄤ ㄅㄧㄢˋ
便利	ㄅㄧㄢˋ ㄌㄧˋ
便宜	ㄆㄧㄢˊ ㄧˊ
隨便	ㄙㄨㄟˊ ㄅㄧㄢˋ
發現	ㄈㄚ ㄒㄧㄢˋ
發展	ㄈㄚ ㄓㄢˇ
發生	ㄈㄚ ㄕㄥ
發明	ㄈㄚ ㄇㄧㄥˊ
發表	ㄈㄚ ㄅㄧㄠˇ
頭髮	ㄊㄡˊ ㄈㄚˇ
理髮	ㄌㄧˇ ㄈㄚˇ
相信	ㄒㄧㄤ ㄒㄧㄣˋ
相同	ㄒㄧㄤ ㄊㄨㄥˊ
相對	ㄒㄧㄤ ㄉㄨㄟˋ
相關	ㄒㄧㄤ ㄍㄨㄢ
互相	ㄏㄨˋ ㄒㄧㄤ
相片	ㄒㄧㄤˋ ㄆㄧㄢˋ
相機	ㄒㄧㄤˋ ㄐㄧ
照相	ㄓㄠˋ ㄒㄧㄤˋ
著名	ㄓㄨˋ ㄇㄧㄥˊ
著作	ㄓㄨˋ ㄗㄨㄛˋ
調查	ㄉㄧㄠˋ ㄔㄚˊ
調整	ㄊㄧㄠˊ ㄓㄥˇ
調節	ㄊㄧㄠˊ ㄐㄧㄝˊ
聲調	ㄕㄥ ㄉㄧㄠˋ
語調	ㄩˇ ㄉㄧㄠˋ
音調	ㄧㄣ ㄉㄧㄠˋ
時間	ㄕˊ ㄐㄧㄢ
空間	ㄎㄨㄥ ㄐㄧㄢ
中間	ㄓㄨㄥ ㄐㄧㄢ
期間	ㄑㄧˊ ㄐㄧㄢ
房間	ㄈㄤˊ ㄐㄧㄢ
之間	ㄓ ㄐㄧㄢ
人間	ㄖㄣˊ ㄐㄧㄢ
民間	ㄇㄧㄣˊ ㄐㄧㄢ
困難	ㄎㄨㄣˋ ㄋㄢˊ
難過	ㄋㄢˊ ㄍㄨㄛˋ
難道	ㄋㄢˊ ㄉㄠˋ
難免	ㄋㄢˊ ㄇㄧㄢˇ
災難	ㄗㄞ ㄋㄢˋ
難民	ㄋㄢˋ ㄇㄧㄣˊ
應該	ㄧㄥ ㄍㄞ
應用	ㄧㄥˋ ㄩㄥˋ
應付	ㄧㄥˋ ㄈㄨˋ
反應	ㄈㄢˇ ㄧㄥˋ
適應	ㄕˋ ㄧㄥˋ
回應	ㄏㄨㄟˊ ㄧㄥˋ
假如	ㄐㄧㄚˇ ㄖㄨˊ
假設	ㄐㄧㄚˇ ㄕㄜˋ
假裝	ㄐㄧㄚˇ ㄓㄨㄤ
真假	ㄓㄣ ㄐㄧㄚˇ
放假	ㄈㄤˋ ㄐㄧㄚˋ
假期	ㄐㄧㄚˋ ㄑㄧˊ
假日	ㄐㄧㄚˋ ㄖˋ
請假	ㄑㄧㄥˇ ㄐㄧㄚˋ
好吃	ㄏㄠˇ ㄔ
好看	ㄏㄠˇ ㄎㄢˋ
好像	ㄏㄠˇ ㄒㄧㄤˋ
好處	ㄏㄠˇ ㄔㄨˋ
美好	ㄇㄟˇ ㄏㄠˇ
友好	ㄧㄡˇ ㄏㄠˇ
好奇	ㄏㄠˋ ㄑㄧˊ
好學	ㄏㄠˋ ㄒㄩㄝˊ
愛好	ㄞˋ ㄏㄠˋ
差別	ㄔㄚ ㄅㄧㄝˊ
差異	ㄔㄚ ㄧˋ
差距	ㄔㄚ ㄐㄩˋ
差不多	ㄔㄚˋ ㄅㄨˋ ㄉㄨㄛ
差勁	ㄔㄚˋ ㄐㄧㄣˋ
出差	ㄔㄨ ㄔㄞ
處理	ㄔㄨˇ ㄌㄧˇ
處於	ㄔㄨˇ ㄩˊ
處罰	ㄔㄨˇ ㄈㄚˊ
相處	ㄒㄧㄤ ㄔㄨˇ
處處	ㄔㄨˋ ㄔㄨˋ
到處	ㄉㄠˋ ㄔㄨˋ
住處	ㄓㄨˋ ㄔㄨˋ
興趣	ㄒㄧㄥˋ ㄑㄩˋ
高興	ㄍㄠ ㄒㄧㄥˋ
興奮	ㄒㄧㄥ ㄈㄣˋ
復興	ㄈㄨˋ ㄒㄧㄥ
興建	ㄒㄧㄥ ㄐㄧㄢˋ
會議	ㄏㄨㄟˋ ㄧˋ
社會	ㄕㄜˋ ㄏㄨㄟˋ
機會	ㄐㄧ ㄏㄨㄟˋ
學會	ㄒㄩㄝˊ ㄏㄨㄟˋ
開會	ㄎㄞ ㄏㄨㄟˋ
只有	ㄓˇ ㄧㄡˇ
只是	ㄓˇ ㄕˋ
只要	ㄓˇ ㄧㄠˋ
只好	ㄓˇ ㄏㄠˇ
目的	ㄇㄨˋ ㄉㄧˋ
的確	ㄉㄧˊ ㄑㄩㄝˋ
說話	ㄕㄨㄛ ㄏㄨㄚˋ
說明	ㄕㄨㄛ ㄇㄧㄥˊ
小說	ㄒㄧㄠˇ ㄕㄨㄛ
傳說	ㄔㄨㄢˊ ㄕㄨㄛ
遊說	ㄧㄡˊ ㄕㄨㄟˋ
幾個	ㄐㄧˇ ㄍㄜˋ
幾乎	ㄐㄧ ㄏㄨ
幾何	ㄐㄧˇ ㄏㄜˊ
台灣	ㄊㄞˊ ㄨㄢ
臺灣	ㄊㄞˊ ㄨㄢ
中國	ㄓㄨㄥ ㄍㄨㄛˊ
日本	ㄖˋ ㄅㄣˇ
美國	ㄇㄟˇ ㄍㄨㄛˊ
韓國	ㄏㄢˊ ㄍㄨㄛˊ
香港	ㄒㄧㄤ ㄍㄤˇ
世界	ㄕˋ ㄐㄧㄝˋ
國家	ㄍㄨㄛˊ ㄐㄧㄚ
政府	ㄓㄥˋ ㄈㄨˇ
經濟	ㄐㄧㄥ ㄐㄧˋ
文化	ㄨㄣˊ ㄏㄨㄚˋ
歷史	ㄌㄧˋ ㄕˇ
科學	ㄎㄜ ㄒㄩㄝˊ
技術	ㄐㄧˋ ㄕㄨˋ
問題	ㄨㄣˋ ㄊㄧˊ
研究	ㄧㄢˊ ㄐㄧㄡˋ
發展	ㄈㄚ ㄓㄢˇ
工作	ㄍㄨㄥ ㄗㄨㄛˋ
生活	ㄕㄥ ㄏㄨㄛˊ
學生	ㄒㄩㄝˊ ㄕㄥ
學校	ㄒㄩㄝˊ ㄒㄧㄠˋ
老師	ㄌㄠˇ ㄕ
父母	ㄈㄨˋ ㄇㄨˇ
朋友	ㄆㄥˊ ㄧㄡˇ
家庭	ㄐㄧㄚ ㄊㄧㄥˊ
公司	ㄍㄨㄥ ㄙ
電腦	ㄉㄧㄢˋ ㄋㄠˇ
手機	ㄕㄡˇ ㄐㄧ
網路	ㄨㄤˇ ㄌㄨˋ
電影	ㄉㄧㄢˋ ㄧㄥˇ
音樂	ㄧㄣ ㄩㄝˋ
新聞	ㄒㄧㄣ ㄨㄣˊ
報紙	ㄅㄠˋ ㄓˇ
雜誌	ㄗㄚˊ ㄓˋ
書籍	ㄕㄨ ㄐㄧˊ
圖書館	ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ
醫院	ㄧ ㄩㄢˋ
醫生	ㄧ ㄕㄥ
健康	ㄐㄧㄢˋ ㄎㄤ
運動	ㄩㄣˋ ㄉㄨㄥˋ
食物	ㄕˊ ㄨˋ
水果	ㄕㄨㄟˇ ㄍㄨㄛˇ
蔬菜	ㄕㄨ ㄘㄞˋ
餐廳	ㄘㄢ ㄊㄧㄥ
早餐	ㄗㄠˇ ㄘㄢ
午餐	ㄨˇ ㄘㄢ
晚餐	ㄨㄢˇ ㄘㄢ
天氣	ㄊㄧㄢ ㄑㄧˋ
環境	ㄏㄨㄢˊ ㄐㄧㄥˋ
自然	ㄗˋ ㄖㄢˊ
動物	ㄉㄨㄥˋ ㄨˋ
植物	ㄓˊ ㄨˋ
交通	ㄐㄧㄠ ㄊㄨㄥ
汽車	ㄑㄧˋ ㄔㄜ
火車	ㄏㄨㄛˇ ㄔㄜ
飛機	ㄈㄟ ㄐㄧ
機場	ㄐㄧ ㄔㄤˇ
公園	ㄍㄨㄥ ㄩㄢˊ
百貨公司	ㄅㄞˇ ㄏㄨㄛˋ ㄍㄨㄥ ㄙ
超市	ㄔㄠ ㄕˋ
市場	ㄕˋ ㄔㄤˇ
電視	ㄉㄧㄢˋ ㄕˋ
節目	ㄐㄧㄝˊ ㄇㄨˋ
遊戲	ㄧㄡˊ ㄒㄧˋ
比賽	ㄅㄧˇ ㄙㄞˋ
冠軍	ㄍㄨㄢˋ ㄐㄩㄣ
選舉	ㄒㄩㄢˇ ㄐㄩˇ
總統	ㄗㄨㄥˇ ㄊㄨㄥˇ
法律	ㄈㄚˇ ㄌㄩˋ
規定	ㄍㄨㄟ ㄉㄧㄥˋ
計劃	ㄐㄧˋ ㄏㄨㄚˋ
計畫	ㄐㄧˋ ㄏㄨㄚˋ
目標	ㄇㄨˋ ㄅㄧㄠ
希望	ㄒㄧ ㄨㄤˋ
夢想	ㄇㄥˋ ㄒㄧㄤˇ
未來	ㄨㄟˋ ㄌㄞˊ
過去	ㄍㄨㄛˋ ㄑㄩˋ
現在	ㄒㄧㄢˋ ㄗㄞˋ
今天	ㄐㄧㄣ ㄊㄧㄢ
明天	ㄇㄧㄥˊ ㄊㄧㄢ
昨天	ㄗㄨㄛˊ ㄊㄧㄢ
這裡	ㄓㄜˋ ㄌㄧˇ
那裡	ㄋㄚˋ ㄌㄧˇ
哪裡	ㄋㄚˇ ㄌㄧˇ
什麼	ㄕㄜˊ ㄇㄜ˙
怎麼	ㄗㄣˇ ㄇㄜ˙
如何	ㄖㄨˊ ㄏㄜˊ
為什麼	ㄨㄟˋ ㄕㄜˊ ㄇㄜ˙
因此	ㄧㄣ ㄘˇ
所以	ㄙㄨㄛˇ ㄧˇ
但是	ㄉㄢˋ ㄕˋ
然而	ㄖㄢˊ ㄦˊ
雖然	ㄙㄨㄟ ㄖㄢˊ
如果	ㄖㄨˊ ㄍㄨㄛˇ
或者	ㄏㄨㄛˋ ㄓㄜˇ
而且	ㄦˊ ㄑㄧㄝˇ
以及	ㄧˇ ㄐㄧˊ
不過	ㄅㄨˊ ㄍㄨㄛˋ
其實	ㄑㄧˊ ㄕˊ
當然	ㄉㄤ ㄖㄢˊ
可能	ㄎㄜˇ ㄋㄥˊ
應該	ㄧㄥ ㄍㄞ
必須	ㄅㄧˋ ㄒㄩ
需要	ㄒㄩ ㄧㄠˋ
可以	ㄎㄜˇ ㄧˇ
已經	ㄧˇ ㄐㄧㄥ
正在	ㄓㄥˋ ㄗㄞˋ
開始	ㄎㄞ ㄕˇ
結束	ㄐㄧㄝˊ ㄕㄨˋ
繼續	ㄐㄧˋ ㄒㄩˋ
完成	ㄨㄢˊ ㄔㄥˊ
成功	ㄔㄥˊ ㄍㄨㄥ
失敗	ㄕ ㄅㄞˋ
變化	ㄅㄧㄢˋ ㄏㄨㄚˋ
改變	ㄍㄞˇ ㄅㄧㄢˋ
增加	ㄗㄥ ㄐㄧㄚ
減少	ㄐㄧㄢˇ ㄕㄠˇ
提高	ㄊㄧˊ ㄍㄠ
降低	ㄐㄧㄤˋ ㄉㄧ
影響	ㄧㄥˇ ㄒㄧㄤˇ
作用	ㄗㄨㄛˋ ㄩㄥˋ
表示	ㄅㄧㄠˇ ㄕˋ
表現	ㄅㄧㄠˇ ㄒㄧㄢˋ
代表	ㄉㄞˋ ㄅㄧㄠˇ
意思	ㄧˋ ㄙ
意義	ㄧˋ ㄧˋ
感覺	ㄍㄢˇ ㄐㄩㄝˊ
想法	ㄒㄧㄤˇ ㄈㄚˇ
觀點	ㄍㄨㄢ ㄉㄧㄢˇ
態度	ㄊㄞˋ ㄉㄨˋ
精神	ㄐㄧㄥ ㄕㄣˊ
心理	ㄒㄧㄣ ㄌㄧˇ
注意	ㄓㄨˋ ㄧˋ
知道	ㄓ ㄉㄠˋ
瞭解	ㄌㄧㄠˇ ㄐㄧㄝˇ
明白	ㄇㄧㄥˊ ㄅㄞˊ
發現	ㄈㄚ ㄒㄧㄢˋ
解決	ㄐㄧㄝˇ ㄐㄩㄝˊ
選擇	ㄒㄩㄢˇ ㄗㄜˊ
決定	ㄐㄩㄝˊ ㄉㄧㄥˋ
建議	ㄐㄧㄢˋ ㄧˋ
討論	ㄊㄠˇ ㄌㄨㄣˋ
參加	ㄘㄢ ㄐㄧㄚ
準備	ㄓㄨㄣˇ ㄅㄟˋ
安排	ㄢ ㄆㄞˊ
負責	ㄈㄨˋ ㄗㄜˊ
管理	ㄍㄨㄢˇ ㄌㄧˇ
服務	ㄈㄨˊ ㄨˋ
提供	ㄊㄧˊ ㄍㄨㄥ
支持	ㄓ ㄔˊ
幫助	ㄅㄤ ㄓㄨˋ
保護	ㄅㄠˇ ㄏㄨˋ
利用	ㄌㄧˋ ㄩㄥˋ
使用	ㄕˇ ㄩㄥˋ
創造	ㄔㄨㄤˋ ㄗㄠˋ
設計	ㄕㄜˋ ㄐㄧˋ
生產	ㄕㄥ ㄔㄢˇ
製造	ㄓˋ ㄗㄠˋ
購買	ㄍㄡˋ ㄇㄞˇ
消費	ㄒㄧㄠ ㄈㄟˋ
價格	ㄐㄧㄚˋ ㄍㄜˊ
品質	ㄆㄧㄣˇ ㄓˊ
效果	ㄒㄧㄠˋ ㄍㄨㄛˇ
結果	ㄐㄧㄝˊ ㄍㄨㄛˇ
原因	ㄩㄢˊ ㄧㄣ
條件	ㄊㄧㄠˊ ㄐㄧㄢˋ
情況	ㄑㄧㄥˊ ㄎㄨㄤˋ
狀況	ㄓㄨㄤˋ ㄎㄨㄤˋ
事情	ㄕˋ ㄑㄧㄥˊ
事件	ㄕˋ ㄐㄧㄢˋ
活動	ㄏㄨㄛˊ ㄉㄨㄥˋ
經驗	ㄐㄧㄥ ㄧㄢˋ
經歷	ㄐㄧㄥ ㄌㄧˋ
過程	ㄍㄨㄛˋ ㄔㄥˊ
方式	ㄈㄤ ㄕˋ
方法	ㄈㄤ ㄈㄚˇ
特別	ㄊㄜˋ ㄅㄧㄝˊ
特點	ㄊㄜˋ ㄉㄧㄢˇ
特色	ㄊㄜˋ ㄙㄜˋ
主要	ㄓㄨˇ ㄧㄠˋ
重要	ㄓㄨㄥˋ ㄧㄠˋ
關鍵	ㄍㄨㄢ ㄐㄧㄢˋ
核心	ㄏㄜˊ ㄒㄧㄣ
基本	ㄐㄧ ㄅㄣˇ
基礎	ㄐㄧ ㄔㄨˇ
原則	ㄩㄢˊ ㄗㄜˊ
標準	ㄅㄧㄠ ㄓㄨㄣˇ
系統	ㄒㄧˋ ㄊㄨㄥˇ
結構	ㄐㄧㄝˊ ㄍㄡˋ
形式	ㄒㄧㄥˊ ㄕˋ
內容	ㄋㄟˋ ㄖㄨㄥˊ
資料	ㄗ ㄌㄧㄠˋ
資訊	ㄗ ㄒㄩㄣˋ
消息	ㄒㄧㄠ ㄒㄧˊ
報告	ㄅㄠˋ ㄍㄠˋ
文章	ㄨㄣˊ ㄓㄤ
程式	ㄔㄥˊ ㄕˋ
軟體	ㄖㄨㄢˇ ㄊㄧˇ
功能	ㄍㄨㄥ ㄋㄥˊ
介面	ㄐㄧㄝˋ ㄇㄧㄢˋ
網站	ㄨㄤˇ ㄓㄢˋ
應用程式	ㄧㄥˋ ㄩㄥˋ ㄔㄥˊ ㄕˋ
上網	ㄕㄤˋ ㄨㄤˇ
下載	ㄒㄧㄚˋ ㄗㄞˇ
帳號	ㄓㄤˋ ㄏㄠˋ
密碼	ㄇㄧˋ ㄇㄚˇ
留言	ㄌㄧㄡˊ ㄧㄢˊ
分享	ㄈㄣ ㄒㄧㄤˇ
搜尋	ㄙㄡ ㄒㄩㄣˊ
設定	ㄕㄜˋ ㄉㄧㄥˋ
登入	ㄉㄥ ㄖㄨˋ
登出	ㄉㄥ ㄔㄨ
更新	ㄍㄥ ㄒㄧㄣ
編輯	ㄅㄧㄢ ㄐㄧˊ
刪除	ㄕㄢ ㄔㄨˊ
複製	ㄈㄨˋ ㄓˋ
貼上	ㄊㄧㄝ ㄕㄤˋ
儲存	ㄔㄨˇ ㄘㄨㄣˊ
確認	ㄑㄩㄝˋ ㄖㄣˋ
取消	ㄑㄩˇ ㄒㄧㄠ
返回	ㄈㄢˇ ㄏㄨㄟˊ
挑戰	ㄊㄧㄠˇ ㄓㄢˋ
攀岩	ㄆㄢ ㄧㄢˊ
攀爬	ㄆㄢ ㄆㄚˊ
徒手	ㄊㄨˊ ㄕㄡˇ
樓層	ㄌㄡˊ ㄘㄥˊ
速度	ㄙㄨˋ ㄉㄨˋ
抵達	ㄉㄧˇ ㄉㄚˊ
驚人	ㄐㄧㄥ ㄖㄣˊ
危險	ㄨㄟˊ ㄒㄧㄢˇ
刺激	ㄘˋ ㄐㄧ
極限	ㄐㄧˊ ㄒㄧㄢˋ
慶幸	ㄑㄧㄥˋ ㄒㄧㄥˋ
稀罕	ㄒㄧ ㄏㄢˇ
打招呼	ㄉㄚˇ ㄓㄠ ㄏㄨ
狀態	ㄓㄨㄤˋ ㄊㄞˋ
簡單	ㄐㄧㄢˇ ㄉㄢ
幾乎	ㄐㄧ ㄏㄨ
報導	ㄅㄠˋ ㄉㄠˇ
記者	ㄐㄧˋ ㄓㄜˇ
編輯	ㄅㄧㄢ ㄐㄧˊ
採訪	ㄘㄞˇ ㄈㄤˇ
鏡頭	ㄐㄧㄥˋ ㄊㄡˊ
民眾	ㄇㄧㄣˊ ㄓㄨㄥˋ
群眾	ㄑㄩㄣˊ ㄓㄨㄥˋ
圍觀	ㄨㄟˊ ㄍㄨㄢ
傾斜	ㄑㄧㄥ ㄒㄧㄝˊ
塔身	ㄊㄚˇ ㄕㄣ
部分	ㄅㄨˋ ㄈㄣˋ
關卡	ㄍㄨㄢ ㄎㄚˇ
魔王	ㄇㄛˊ ㄨㄤˊ
資深	ㄗ ㄕㄣ
教練	ㄐㄧㄠˋ ㄌㄧㄢˋ
鴨子	ㄧㄚ ㄗ˙
指出	ㄓˇ ㄔㄨ
並沒有	ㄅㄧㄥˋ ㄇㄟˊ ㄧㄡˇ
想像	ㄒㄧㄤˇ ㄒㄧㄤˋ
休息	ㄒㄧㄡ ㄒㄧˊ
稀有	ㄒㄧ ㄧㄡˇ
輕鬆	ㄑㄧㄥ ㄙㄨㄥ
普遍	ㄆㄨˇ ㄅㄧㄢˋ
預計	ㄩˋ ㄐㄧˋ
估計	ㄍㄨ ㄐㄧˋ
估評	ㄍㄨ ㄆㄧㄥˊ
評估	ㄆㄧㄥˊ ㄍㄨ
專業	ㄓㄨㄢ ㄧㄝˋ
紀錄	ㄐㄧˋ ㄌㄨˋ
破紀錄	ㄆㄛˋ ㄐㄧˋ ㄌㄨˋ
突破	ㄊㄨˊ ㄆㄛˋ
創紀錄	ㄔㄨㄤˋ ㄐㄧˋ ㄌㄨˋ
冒險	ㄇㄠˋ ㄒㄧㄢˇ
探險	ㄊㄢˋ ㄒㄧㄢˇ
壯舉	ㄓㄨㄤˋ ㄐㄩˇ
驚艷	ㄐㄧㄥ ㄧㄢˋ
震撼	ㄓㄣˋ ㄏㄢˋ
佩服	ㄆㄟˋ ㄈㄨˊ
欽佩	ㄑㄧㄣ ㄆㄟˋ
讚嘆	ㄗㄢˋ ㄊㄢˋ
贊歎	ㄗㄢˋ ㄊㄢˋ
厲害	ㄌㄧˋ ㄏㄞˋ
勇氣	ㄩㄥˇ ㄑㄧˋ
膽量	ㄉㄢˇ ㄌㄧㄤˋ
勇敢	ㄩㄥˇ ㄍㄢˇ
堅持	ㄐㄧㄢ ㄔˊ
毅力	ㄧˋ ㄌㄧˋ
耐力	ㄋㄞˋ ㄌㄧˋ
體力	ㄊㄧˇ ㄌㄧˋ
精神	ㄐㄧㄥ ㄕㄣˊ
狀態	ㄓㄨㄤˋ ㄊㄞˋ
良好	ㄌㄧㄤˊ ㄏㄠˇ
順利	ㄕㄨㄣˋ ㄌㄧˋ
終於	ㄓㄨㄥ ㄩˊ
成功	ㄔㄥˊ ㄍㄨㄥ
完成	ㄨㄢˊ ㄔㄥˊ
達成	ㄉㄚˊ ㄔㄥˊ
實現	ㄕˊ ㄒㄧㄢˋ
夢想	ㄇㄥˋ ㄒㄧㄤˇ
目標	ㄇㄨˋ ㄅㄧㄠ
願望	ㄩㄢˋ ㄨㄤˋ
企盼	ㄑㄧˋ ㄆㄢˋ
期待	ㄑㄧˊ ㄉㄞˋ
渴望	ㄎㄜˇ ㄨㄤˋ
嚮往	ㄒㄧㄤˋ ㄨㄤˇ
追求	ㄓㄨㄟ ㄑㄧㄡˊ
努力	ㄋㄨˇ ㄌㄧˋ
奮鬥	ㄈㄣˋ ㄉㄡˋ
拼搏	ㄆㄧㄣ ㄅㄛˊ
奮鬥	ㄈㄣˋ ㄉㄡˋ
